602060,2009-03-02,11:59:08,7,2
695682,2009-03-30,00:18:12,1,1
702914,2009-03-31,20:31:19,9,5
994555,2009-06-15,05:04:44,12,5
1356521,2009-08-31,08:52:05,5,3
1370210,2009-09-02,21:23:57,2,3
1627807,2009-10-26,22:53:57,5,4
1855388,2009-12-06,13:27:18,1,1
2503716,2010-03-23,21:20:57,0,2
2932682,2010-05-28,21:34:41,4,1
3307186,2010-07-22,08:52:51,3,5
4074204,2010-11-02,00:41:30,8,4
4486795,2010-12-20,04:05:11,10,2
4898861,2011-02-04,14:07:29,1,1
5360781,2011-03-19,07:23:06,3,4
5474445,2011-03-29,14:46:36,6,7
5696918,2011-04-17,22:34:41,0,1
5921281,2011-05-07,13:10:41,3,4
6172584,2011-05-30,05:29:20,3,4
6225968,2011-06-03,10:35:37,4,5
6255054,2011-06-06,16:25:28,1,3
6294212,2011-06-09,14:14:35,1,2
6614447,2011-07-07,17:12:41,4,3
6754454,2011-07-19,21:33:55,7,6
8138405,2011-11-15,15:04:28,5,1
8588960,2011-12-21,11:18:05,51,3
8934508,2012-01-19,22:47:35,4,3
8969502,2012-01-23,09:33:06,0,2
9773428,2012-03-19,15:53:16,1,1
10112780,2012-04-11,19:40:12,14,2
10213230,2012-04-18,15:54:37,1,1
10362745,2012-04-28,10:37:24,1,1
10887590,2012-06-04,20:05:50,1,2
10980949,2012-06-11,13:22:55,0,1
11000942,2012-06-12,16:37:32,1,2
11215671,2012-06-26,18:20:36,1,2
11569842,2012-07-19,21:48:26,3,2
11717645,2012-07-30,08:16:06,2,1
11731524,2012-07-31,00:26:48,0,1
11892173,2012-08-09,21:25:49,2,1
11907165,2012-08-10,18:22:26,0,1
11952849,2012-08-14,13:02:39,-1,2
13076447,2012-10-25,20:10:01,1,0
13289603,2012-11-08,13:15:48,0,1
13396065,2012-11-15,10:56:17,2,0
13780810,2012-12-08,18:59:58,1,1
14189669,2013-01-07,03:56:14,0,1
14264774,2013-01-10,18:27:11,1,3
14543003,2013-01-27,00:09:51,0,3
14590031,2013-01-29,18:47:55,2,2
14613857,2013-01-30,21:11:21,0,1
14680742,2013-02-04,05:13:48,2,1
14798012,2013-02-10,13:04:01,1,1
14944774,2013-02-18,20:29:50,1,0
15053602,2013-02-24,16:04:20,3,2
15100084,2013-02-26,21:54:03,3,1
15126613,2013-02-28,02:51:22,1,1
15286568,2013-03-08,04:12:48,3,2
15790599,2013-04-03,14:47:19,7,1
16428309,2013-05-07,20:50:04,3,1
16542932,2013-05-14,12:17:29,0,5
16949445,2013-06-05,20:38:56,3,1
17048014,2013-06-11,15:29:00,1,1
17166198,2013-06-18,10:10:20,1,2
17282883,2013-06-24,18:54:23,3,1
17408439,2013-07-01,15:40:57,4,1
17448091,2013-07-03,12:32:45,2,1
17775949,2013-07-21,19:18:32,3,0
17885330,2013-07-26,15:27:41,5,3
18130188,2013-08-08,15:34:24,0,2
18354841,2013-08-21,10:20:35,-2,2
18512911,2013-08-29,13:53:10,2,0
