id,time
60673,0
71277,0
97114,0
119114,603
286826,149
287379,100
296147,7
329043,7
367368,7
408908,7
410865,298
440364,298
443586,92
479979,92
480248,92
507225,92
525283,92
559881,174
560040,174
568268,0
653205,0
904745,0
932344,0
941669,76
957495,0
970017,3
1001307,3
1015207,7
1113666,23
1213576,23
1221343,23
1232246,23
1245478,0
1259502,0
1269452,0
1293585,0
1297306,0
1311559,116
1358159,0
1439607,0
1440728,0
1464824,12
1473636,2
1508856,2
1519060,2
1535314,2
1596726,0
1655937,0
1709850,0
1715989,29
1819309,0
1850636,0
1920992,4
1966577,275
1977433,150
1981212,0
2027457,1
2072716,0
2128875,18
2153105,18
2253747,29
2265566,0
2323213,0
2338841,0
2355300,113
2406117,406
2408890,406
2410301,406
2411809,406
2452220,201
2460787,201
2506632,26
2518339,0
2519978,0
2549167,574
2581375,252
2654718,252
2695364,10
2736411,10
2755470,10
2770890,0
2820808,5
2830957,91
2842560,0
2855629,0
2916239,19
2923210,19
2940437,19
2950978,19
2951128,19
2955842,0
3076048,0
3084443,0
3101610,0
3121920,0
3129916,167
3189189,0
3191402,0
3195518,0
3212101,0
3263155,18
3286512,0
3311390,5
3321155,5
3366535,5
3407066,0
3408340,0
3441178,0
3456738,0
3614894,0
3683441,0
3691018,223
3734305,0
3786827,0
3806738,8
3842590,0
3894079,22
3942174,22
3944207,0
3963989,420
3968628,420
3994878,0
4128974,0
4168825,0
4202566,187
4247022,187
4350764,187
4367988,0
4416415,1
4441397,6
4469645,493
4473632,0
4506299,0
4526113,0
4581700,198
4597172,0
4633879,13
4686283,0
4704092,0
4764031,0
4779611,0
4793122,0
4868227,336
4890095,11
4969867,11
4979560,0
5013002,0
5040995,0
5046159,105
5090605,105
5116977,105
5127970,105
5176929,755
5200281,0
5204037,0
5295442,0
5305717,19
5308110,1
5330590,1
5349812,128
5402974,215
5478241,215
5540884,410
5557474,0
5559317,0
5566135,0
5566482,1
5601581,103
5613637,22
5706921,0
5795354,8
5795920,4
5860645,0
5879809,0
5970951,0
6052896,130
6090716,30
6097212,0
6100871,0
6105872,0
6200488,152
6232144,112
6258775,114
6298830,114
6306825,0
6310609,0
6338244,5
6492581,68
6509996,0
6550164,5
6579661,5
6650693,4
6655696,4
6698743,4
6749297,1
6790274,1
6807406,1
6828321,10
6917585,103
7008014,16
7061528,0
7094647,0
7182264,104
7189450,0
7196335,0
7218280,0
7331811,0
7375037,0
7493552,0
7493633,0
7497207,0
7507784,0
7523023,0
7608800,13
7741720,13
7746485,13
7801969,422
7828041,422
8024790,114
8119544,0
8124538,0
8147877,3
8242172,0
8277874,0
8309569,0
8324947,0
8447090,0
8456420,0
8460797,4
8514725,0
8522044,0
8579654,0
8621056,0
8717656,261
8833060,0
8836388,0
